subNum,trialNo,easySide,targPresent,targSide,RT,accuracy,block_no
7,155,R,0,,4017,1,1
7,156,R,0,,3965,1,1
7,157,R,0,,6155,1,1
7,158,R,1,right,1821,1,1
7,159,R,0,,3765,1,1
8,1,R,1,left,8237,1,1
8,2,R,1,right,2617,0,1
8,3,R,1,right,2914,1,1
8,4,R,1,right,1847,1,1
8,5,R,1,right,1985,1,1
8,6,R,0,,8304,1,1
8,7,L,1,right,6476,1,1
8,8,R,1,right,1973,1,1
8,9,R,0,,7075,1,1
8,10,R,0,,8349,1,1
8,11,R,1,right,2154,1,1
8,12,L,1,right,3626,1,1
8,13,R,1,left,10165,0,1
8,14,R,0,,10185,1,1
8,15,L,1,right,10193,0,1
8,16,L,1,left,2295,1,1
8,17,R,0,,11915,1,1
8,18,L,1,left,2254,1,1
8,19,R,0,,9925,1,1
8,20,R,0,,7881,1,1
8,21,L,0,,7627,1,1
8,22,R,1,right,2284,1,1
8,23,R,0,,9416,1,1
8,24,R,1,right,1884,1,1
8,25,R,0,,10825,1,1
8,26,L,1,right,4646,1,1
8,27,R,1,right,1864,1,1
8,28,R,1,right,1674,1,1
8,29,R,1,left,5015,1,1
8,30,R,0,,8626,1,1
8,31,R,0,,8216,1,1
8,32,R,0,,9376,1,1
8,33,L,0,,8356,1,1
8,34,R,0,,8065,1,1
8,35,L,1,left,2914,1,1
8,36,R,1,left,9636,0,1
8,37,L,1,right,6545,1,1
8,38,L,0,,8945,1,1
8,39,R,1,left,8586,0,1
8,40,L,1,right,10985,0,1
8,41,R,0,,9826,1,1
8,42,R,1,left,4954,1,1
8,43,L,0,,9645,1,1
