expName,subjectId,subjectGender,subjectAge,session,block,blockType,trial,setSize,targetOri,targetPos,distrMean,dtype,dsd,targetDist,t_dist_to_prev_d,answer,rt,correct,prev_correct,blockId,tid
set_size_experiment_1,1,f,27,2,372,prime,2,24,-126,15,-41,norm,15,85,-36.58548161,j,962.322994135,1,1,373,933
set_size_experiment_1,1,f,27,2,373,probe,0,36,-62,20,-169,norm,10,73,-20.885351845,i,614.297341555,1,1,374,934
set_size_experiment_1,1,f,27,2,374,prime,0,8,84,4,189,uni,15,-75.0000000003,73.061702335,j,712.035109289,1,1,375,935
set_size_experiment_1,1,f,27,2,374,prime,1,8,71,0,189,uni,15,-62.0000000003,60.061702335,j,631.771201268,1,1,375,936
set_size_experiment_1,1,f,27,2,374,prime,2,8,114,6,189,uni,15,74.9999999997,-76.938297665,j,650.461215526,1,1,375,937
set_size_experiment_1,1,f,27,2,374,prime,3,8,113,2,189,uni,15,75.9999999997,-77.938297665,j,590.015014634,1,1,375,938
set_size_experiment_1,1,f,27,2,375,probe,0,36,121,3,24,norm,10,83,-67.8857376837,i,749.082060531,1,1,376,939
set_size_experiment_1,1,f,27,2,376,prime,0,8,99,4,203,norm,15,-76.0000000002,74.890873618,i,510.676492937,0,1,377,940
set_size_experiment_1,1,f,27,2,376,prime,1,8,128,7,203,norm,15,75,-76.1091263822,j,657.897759229,1,0,377,941
set_size_experiment_1,1,f,27,2,376,prime,2,8,132,7,203,norm,15,71,-72.1091263822,i,674.417388625,1,1,377,942
set_size_experiment_1,1,f,27,2,377,probe,0,36,251,21,191,norm,10,-60,47.7574286698,j,484.934934415,1,1,378,943
set_size_experiment_1,1,f,27,2,377,probe,1,36,251,28,149,norm,10,78,47.7574286698,i,495.473018847,1,1,378,944
set_size_experiment_1,1,f,27,2,378,prime,0,24,61,14,163,norm,15,-78.0000000003,-88.2243644536,i,584.034241736,1,1,379,945
set_size_experiment_1,1,f,27,2,378,prime,1,24,69,7,163,norm,15,-86.0000000003,-80.2243644536,i,494.596095756,1,1,379,946
set_size_experiment_1,1,f,27,2,378,prime,2,24,76,12,163,norm,15,86.9999999997,-73.2243644536,i,474.985310808,1,1,379,947
set_size_experiment_1,1,f,27,2,378,prime,3,24,88,16,163,norm,15,74.9999999997,-61.2243644536,i,626.972351223,1,1,379,948
set_size_experiment_1,1,f,27,2,379,probe,0,36,216,29,108,norm,10,72.00000000037,53.56896735793,j,704.807795584,1,1,380,949
set_size_experiment_1,1,f,27,2,379,probe,1,36,216,26,121,norm,10,85.00000000037,53.56896735793,i,592.276940122,1,1,380,950
set_size_experiment_1,1,f,27,2,380,prime,0,24,-186,18,-88,uni,15,-82,52.324047059,i,565.19538071,1,1,381,951
set_size_experiment_1,1,f,27,2,380,prime,1,24,-156,9,-88,uni,15,68,82.324047059,j,727.472428232,1,1,381,952
set_size_experiment_1,1,f,27,2,380,prime,2,24,-206,1,-88,uni,15,-62,32.324047059,j,521.367269568,1,1,381,953
set_size_experiment_1,1,f,27,2,380,prime,3,24,-166,6,-88,uni,15,78,72.324047059,i,467.33107511,1,1,381,954
set_size_experiment_1,1,f,27,2,381,probe,0,36,-61,4,-158,norm,10,83,27.078568989,j,697.328175418,1,1,382,955
set_size_experiment_1,1,f,27,2,382,prime,0,14,-80,9,14,uni,15,-86,78.569251456,i,664.925456978,1,1,383,956
set_size_experiment_1,1,f,27,2,382,prime,1,14,-64,13,14,uni,15,78,-85.430748544,j,572.266925126,1,1,383,957
set_size_experiment_1,1,f,27,2,382,prime,2,14,-75,5,14,uni,15,89,83.569251456,j,577.501928434,1,1,383,958
set_size_experiment_1,1,f,27,2,382,prime,3,14,-79,9,14,uni,15,-87,79.569251456,i,443.350287154,1,1,383,959
set_size_experiment_1,1,f,27,2,383,probe,0,36,-69,2,-153,norm,10,-84,-82.95546925,i,611.993108876,1,1,384,960
set_size_experiment_1,1,f,27,2,383,probe,1,36,-69,11,-173,norm,10,76,-82.95546925,i,521.449962631,1,1,384,961
set_size_experiment_1,1,f,27,2,384,prime,0,14,-187,3,-71,uni,15,-64,-14.48351872,j,686.897781678,1,1,385,962
