trial_id,is_target,color,shape
2854,1,red,T
2855,1,red,T
2856,1,red,T
2858,1,red,T
2859,1,red,T
2860,1,red,T
2861,1,red,T
2862,1,red,T
2863,1,red,T
2864,1,red,T
2865,1,red,T
2867,1,red,T
2869,1,red,T
2870,1,red,T
2871,1,red,T
2873,1,red,T
2874,1,red,T
2877,1,red,T
2878,1,red,T
2879,1,red,T
2881,1,red,T
2882,1,red,T
2883,1,red,T
2884,1,red,T
2886,1,red,T
2889,1,red,T
2892,1,red,T
2893,1,red,T
2894,1,red,T
2895,1,red,T
2897,1,red,T
2901,1,red,T
2903,1,red,T
2904,1,red,T
2906,1,red,T
2912,1,red,T
2913,1,red,T
2914,1,red,T
2915,1,red,T
2917,1,red,T
2918,1,red,T
2919,1,red,T
2920,1,red,T
2922,1,red,T
2923,1,red,T
2924,1,red,T
2925,1,red,T
2927,1,red,T
2937,1,red,T
2938,1,red,T
2940,1,red,T
2941,1,red,T
2942,1,red,T
2943,1,red,T
2949,1,red,T
2950,1,red,T
2951,1,red,T
2952,1,red,T
2953,1,red,T
2955,1,red,T
2957,1,red,T
2959,1,red,T
2962,1,red,T
2965,1,red,T
2966,1,red,T
2967,1,red,T
2975,1,red,T
2977,1,red,T
2978,1,red,T
2981,1,red,T
2982,1,red,T
2984,1,red,T
2986,1,red,T
2987,1,red,T
2988,1,red,T
2992,1,red,T
2993,1,red,T
2994,1,red,T
2997,1,red,T
2999,1,red,T
3000,1,red,T
3003,1,red,T
3004,1,red,T
3005,1,red,T
3006,1,red,T
3007,1,red,T
3010,1,red,T
3011,1,red,T
3012,1,red,T
3014,1,red,T
3015,1,red,T
3016,1,red,T
3017,1,red,T
3021,1,red,T
3024,1,red,T
3028,1,red,T
3031,1,red,T
3032,1,red,T
3033,1,red,T
3037,1,red,T
3038,1,red,T
3039,1,red,T
3041,1,red,T
3044,1,red,T
3045,1,red,T
3046,1,red,T
3047,1,red,T
3048,1,red,T
3049,1,red,T
3051,1,red,T
3053,1,red,T
3057,1,red,T
3058,1,red,T
3060,1,red,T
3064,1,red,T
3066,1,red,T
3068,1,red,T
3070,1,red,T
3072,1,red,T
3073,1,red,T
3074,1,red,T
3080,1,red,T
3082,1,red,T
3083,1,red,T
3084,1,red,T
3085,1,red,T
3086,1,red,T
3087,1,red,T
3090,1,red,T
3094,1,red,T
3095,1,red,T
3099,1,red,T
3100,1,red,T
3101,1,red,T
