SubjID,BlockNr,Sequence,Trial,Stability,MeanSize,MeanSizeDeg,SetSize,BuildOrTest,TargetOri,Response,ACC,RT,training
1,6,63,3,1,111,3,10,0,-45,-45,1,851.77,0
1,6,63,4,1,111,3,10,1,45,45,1,825.16,0
1,6,63,5,1,111,3,10,1,45,45,1,2239.09,0
1,6,63,6,1,111,3,10,1,45,45,1,1374.76,0
1,6,64,1,2,74,2,20,0,-45,-45,1,2604.91,0
1,6,64,2,2,74,2,20,0,-45,-45,1,5041,0
1,6,64,3,2,74,2,20,0,-45,-45,1,8824.86,0
1,6,64,4,2,92.5,2.5,20,1,45,45,1,3717.36,0
1,6,64,5,2,55.5,1.5,20,1,-45,-45,1,2006.94,0
1,6,64,6,2,111,3,20,1,-45,-45,1,2509.54,0
1,6,65,1,1,92.5,2.5,10,0,-45,-45,1,1241.76,0
1,6,65,2,1,92.5,2.5,10,0,45,45,1,1396.59,0
1,6,65,3,1,92.5,2.5,10,0,-45,-45,1,1415.48,0
1,6,65,4,1,92.5,2.5,10,1,45,45,1,1386.74,0
1,6,65,5,1,92.5,2.5,10,1,45,45,1,1142.02,0
1,6,65,6,1,92.5,2.5,10,1,45,45,1,934.47,0
1,6,66,1,1,111,3,10,0,45,45,1,972.97,0
1,6,66,2,1,111,3,10,0,45,45,1,3464.5,0
1,6,66,3,1,111,3,10,0,45,45,1,924.15,0
1,6,66,4,1,111,3,10,1,45,45,1,1344.04,0
1,6,66,5,1,111,3,10,1,-45,-45,1,2037.28,0
1,6,66,6,1,111,3,10,1,-45,-45,1,1741.96,0
1,6,67,1,1,92.5,2.5,10,0,-45,-45,1,6635.63,0
1,6,67,2,1,92.5,2.5,10,0,-45,-45,1,980.24,0
1,6,67,3,1,92.5,2.5,10,0,-45,-45,1,910.65,0
1,6,67,4,1,92.5,2.5,10,1,45,45,1,2644.83,0
1,6,67,5,1,92.5,2.5,10,1,45,45,1,1916.19,0
