subjnr;rho;T_present;response;correct;ort1;ort2;ort3;ort4
1;0;0;0;1;6,062272408;29,80257537;17,44922383;5,964729946
1;0;0;0;1;9,268976565;-17,81223618;-12,23084259;-18,26480397
1;0;1;1;1;0;-11,34757957;-21,25516232;-0,191623085
1;0;0;1;0;-11,87620351;10,85753116;16,5106026;-14,57847668
1;0;0;0;1;-8,045737563;13,22386662;9,414997773;11,42197673
1;0;1;1;1;-19,813088;15,75078668;16,87216419;0
1;0;1;1;1;-1,127902131;-12,30876067;13,94883179;0
1;0;0;0;1;14,22665854;37,26800024;16,5295843;-12,7203973
1;0;1;1;1;-11,20297615;10,31222045;0;4,931018417
1;0;0;0;1;6,002842063;-25,28941768;-10,29569427;-40,9339326
1;0;1;1;1;-16,24663715;29,18940426;3,342855651;0
1;0;1;1;1;9,865467219;0;19,817537;-16,25489284
1;0;1;1;1;-4,753082004;0;-3,344163442;-6,668999311
1;0;0;0;1;24,33581552;-2,167109148;-8,558026794;-11,53881765
1;0;0;1;0;10,7669189;-13,51684594;-13,9819455;-5,295677346
1;0;1;0;0;28,40520772;-4,944954153;0;-2,802459826
1;0;1;1;1;4,808428625;6,184187548;-5,832449192;0
1;0;1;1;1;0;-7,674321899;24,86708764;-5,671939003
1;0;1;1;1;0;0,630100222;-12,74181005;12,16540953
1;0;0;1;0;-25,07399987;3,841026892;12,80937838;-8,444318469
1;0;1;1;1;-4,031571962;6,495046898;0;13,84441386
1;0;1;0;0;23,37463721;0;2,581126105;4,661515083
1;0;0;1;0;9,419028554;18,49132637;-13,47581091;-18,6888555
1;0;1;1;1;0;4,470496419;-4,893601629;-12,24921474
1;0;0;1;0;7,172407582;11,8018147;20,33536193;-7,177678187
1;0;1;1;1;-17,59442867;-4,024399955;-11,3839509;0
1;0;0;0;1;-19,64913505;-10,6318271;3,045977781;-24,89601856
1;0;1;0;0;0;-3,979066247;-22,70232509;-14,93562894
1;0;1;1;1;-7,391593156;0;-18,15899688;13,20464377
1;0;1;1;1;-3,402360115;23,19615535;-7,351900739;0
1;0;1;1;1;11,05641327;-8,73454472;0;-13,943917
1;0;1;1;1;-0,912016552;41,58045379;0;-13,29416424
1;0;0;0;1;33,80357086;15,28919172;30,515548;-13,7795648
1;0;1;1;1;5,404368798;0;-15,17535596;-17,12605337
1;0;1;0;0;0;5,368947757;-17,62431001;-9,106994885
1;0;0;1;0;0,393900569;6,170458012;13,47563491;-16,29625222
1;0;1;1;1;0;-31,27028641;-24,13497546;5,947793407
1;0;0;1;0;1,643191109;5,406406411;19,43565659;11,52068657
1;0;0;1;0;-0,92974483;-30,95874084;-20,33378564;9,617450603
1;0;0;0;1;47,07431744;-13,90449229;26,08251926;1,719903109
1;0;0;0;1;-6,733456875;3,977640461;5,071233799;8,425560108
1;0;1;1;1;-14,47434439;26,28749966;0;-24,26463472
1;0;0;0;1;0,19879162;1,949462302;8,115333245;4,705883507
1;0;0;1;0;-6,416386367;8,408166462;14,61032768;-2,265477072
1;0;1;1;1;-2,298212397;-26,02227663;0;-11,78639665
1;0;0;1;0;9,983249025;-14,18626183;11,65988264;5,256822889
1;0;0;1;0;6,611629508;-29,87923959;12,32383382;1,820846851
1;0;0;1;0;15,15334118;-8,605364571;20,94742623;-8,388776877
1;0;0;0;1;21,65455107;-6,766192253;-6,30176636;-3,495222911
