manip,subject,session,order,mm,tm,trialType,iti,fixDur,stimDur,nBlock,nTrial,alpha,present,targType,nItems,resp,acc,rt,confidence,estNItems,estTime,confidenceRT,estNItemsRT,estTimeRT,RecRT,Erreur,REC,Rec2Type,RecRT2,Rec2,couleur,training,task,trialId
vs12,amelie,4,4,09Nov2011,1037,mixed,500,544,8000,2,29,2.2448194917,1,L,4,z,1,1682,,,,,,,,,,A,1767,2,Vert,0,L among T,137
vs12,amelie,4,4,09Nov2011,1037,mixed,500,499,8000,2,30,3.68779404322,1,X,4,z,1,2167,,,,,,,,,,A,1933,0,Vert,0,X among T,138
vs12,amelie,4,4,09Nov2011,1037,mixed,500,473,8000,2,31,3.60700807656,0,L,8,a,1,1811,,,,,,,,,,A,1267,2,Rouge,0,L among T,139
vs12,amelie,4,4,09Nov2011,1037,mixed,500,404,8000,2,32,3.74139502717,1,X,16,z,1,1535,,,,,,,,,,A,1233,2,Vert,0,X among T,140
vs12,amelie,4,4,09Nov2011,1038,mixed,500,644,8000,2,33,4.09310345875,0,X,8,a,1,1016,,,,,,,,,,A,1285,0,Rouge,0,X among T,141
vs12,amelie,4,4,09Nov2011,1038,mixed,500,484,8000,2,34,5.46534106244,0,X,16,a,1,1068,,,,,,,,,,A,1249,0,Rouge,0,X among T,142
vs12,amelie,4,4,09Nov2011,1038,mixed,500,458,8000,2,35,0.749786308448,1,L,8,z,1,734,,,,,,,,,,A,1750,2,Vert,0,L among T,143
vs12,amelie,4,4,09Nov2011,1038,mixed,500,639,8000,2,36,1.1254718676,0,L,16,a,1,2668,,,,,,,,,,A,2682,3,Rouge,0,L among T,144
vs12,amelie,4,4,09Nov2011,1038,mixed,500,498,8000,2,37,4.01440198784,1,L,16,a,1,4882,,,,,,,,,,C,1433,7,Rouge,0,L among T,145
vs12,amelie,4,4,09Nov2011,1038,mixed,500,495,8000,2,38,4.69817572322,1,X,16,a,1,735,,,,,,,,,,A,1893,0,Rouge,0,X among T,146
vs12,amelie,4,4,09Nov2011,1038,mixed,500,402,8000,2,39,5.24168308893,0,X,16,z,1,702,,,,,,,,,,A,1199,0,Vert,0,X among T,147
vs12,amelie,4,4,09Nov2011,1038,mixed,500,653,8000,2,40,4.37847048237,0,L,4,a,1,1266,,,,,,,,,,A,1649,2,Rouge,0,L among T,148
vs12,amelie,4,4,09Nov2011,1038,mixed,500,474,8000,2,41,4.88584904169,1,X,8,z,1,751,,,,,,,,,,A,1980,0,Vert,0,X among T,149
vs12,amelie,4,4,09Nov2011,1038,mixed,500,442,8000,2,42,0.354336489897,0,X,16,z,1,551,,,,,,,,,,A,1116,0,Vert,0,X among T,150
vs12,amelie,4,4,09Nov2011,1038,mixed,500,444,8000,2,43,0.642230423748,0,L,8,a,1,1867,,,,,,,,,,A,1333,2,Rouge,0,L among T,151
vs12,amelie,4,4,09Nov2011,1038,mixed,500,680,8000,2,44,0.148204821238,1,X,4,z,1,785,,,,,,,,,,A,1267,0,Vert,0,X among T,152
vs12,amelie,4,4,09Nov2011,1038,mixed,500,499,8000,2,45,3.71740216571,0,X,4,z,1,818,,,,,,,,,,A,1984,0,Vert,0,X among T,153
vs12,amelie,4,4,09Nov2011,1038,mixed,500,685,8000,2,46,2.55755238215,1,L,8,z,1,1565,,,,,,,,,,A,1966,2,Vert,0,L among T,154
vs12,amelie,4,4,09Nov2011,1038,mixed,500,645,8000,2,47,0.761211320633,1,L,8,a,1,1751,,,,,,,,,,A,983,2,Rouge,0,L among T,155
vs12,amelie,4,4,09Nov2011,1038,mixed,500,662,8000,2,48,5.31104745669,1,X,4,z,1,1001,,,,,,,,,,A,2295,2,Vert,0,X among T,156
