manip subject session order mm tm trialType iti fixDur stimDur nBlock nTrial alpha present targType nItems resp acc rt confidence estNItems estTime confidenceRT estNItemsRT estTimeRT RecRT Erreur REC Rec2Type RecRT2 Rec2 couleur
vs12 amelie 4 4 09Nov2011 1039 mixed 500 660 8000 2 58 6.20417151616 True L 4 a 1 817 None None None None None None None None None A 817 2 Rouge
vs12 amelie 4 4 09Nov2011 1039 mixed 500 583 8000 2 59 2.22158419178 False L 16 z 1 6111 None None None None None None None None None D 1700 8 Vert
vs12 amelie 4 4 09Nov2011 1039 mixed 500 677 8000 2 60 1.12664866213 False X 8 z 1 802 None None None None None None None None None A 1201 0 Vert
vs12 amelie 4 4 09Nov2011 1040 mixed 500 691 8000 3 1 4.6866816693 False X 16 a 1 2485 None None None None None None None None None A 1317 2 Rouge
vs12 amelie 4 4 09Nov2011 1040 mixed 500 525 8000 3 2 1.98685394556 False L 16 z 1 2802 None None None None None None None None None B 1215 4 Vert
vs12 amelie 4 4 09Nov2011 1040 mixed 500 485 8000 3 3 3.54729488697 True L 4 a 1 816 None None None None None None None None None A 2300 0 Rouge
vs12 amelie 4 4 09Nov2011 1040 mixed 500 497 8000 3 4 1.90700969494 False X 4 a 0 751 None None None None None None None None None A 4361 2 Vert
vs12 amelie 4 4 09Nov2011 1040 mixed 500 660 8000 3 5 3.13893539491 False X 16 z 0 1186 None None None None None None None None None A 1750 1 Rouge
vs12 amelie 4 4 09Nov2011 1040 mixed 500 458 8000 3 6 0.766720731373 True L 4 z 1 1893 None None None None None None None None None A 2399 0 Vert
vs12 amelie 4 4 09Nov2011 1040 mixed 500 422 8000 3 7 2.79354584009 False L 16 a 1 5899 None None None None None None None None None C 1965 6 Rouge
vs12 amelie 4 4 09Nov2011 1040 mixed 500 693 8000 3 8 1.17637159421 False L 4 a 1 1467 None None None None None None None None None A 1733 0 Rouge
vs12 amelie 4 4 09Nov2011 1040 mixed 500 661 8000 3 9 3.68127458615 False L 8 z 1 935 None None None None None None None None None A 1383 0 Vert
