manip;subject;session;order;mm;tm;trialType;iti;fixDur;stimDur;nBlock;nTrial;alpha;present;targType;nItems;resp;acc;rt;confidence;estNItems;estTime;confidenceRT;estNItemsRT;estTimeRT;RecRT;Erreur;PostTest;Rec2Type;RecRT2;Rec2;couleur;Prime;CordCible;CordPrime;Yes/No;AV/AP;Diff;PostTest;RECORDING_SESSION_LABEL;AVERAGE_FIXATION_DURATION;AVERAGE_SACCADE_AMPLITUDE;BLINK_COUNT;BUTTON_PRESS_COUNT;FIXATION_COUNT;IP_DURATION;SACCADE_COUNT;;
vs12;am;4;2;08Feb2013;1015;Ent1;500;400;2000;1;4;3.77662725397;False;L;4;z;1;278;None;None;None;None;None;None;None;None;None;None;None;None;Vert;0;4;0;0;None;None;0;AM;3000;0;0;0;1;3000;0;;
vs12;am;4;2;08Feb2013;1052;mixed;500;400;2000;6;20;2.95466943765;True;L;4;z;1;710;None;None;None;None;None;None;None;None;None;A;3060;2;Vert;0;2;0;0;None;None;0;AM;3000;0;0;0;1;3000;0;;
vs12;am;4;2;08Feb2013;1033;mixed;500;400;2000;2;13;0.760728381327;True;X;4;a;1;1316;None;None;None;None;None;None;None;None;None;A;2306;3;Rouge;0;2;0;0;None;None;0;AM;3000;0;0;0;1;3000;0;;
vs12;am;4;2;08Feb2013;1028;mixed;500;400;2000;1;3;3.26316938078;True;X;16;z;1;799;None;None;None;None;None;None;None;None;None;A;1918;3;Vert;0;11;0;0;None;None;0;AM;3000;0;0;0;1;3000;0;;
vs12;am;4;2;08Feb2013;1024;Ent2;500;400;2000;1;3;4.63525636733;False;X;16;a;1;1228;None;None;None;None;None;None;None;None;None;B;2969;5;Rouge;0;10;0;0;None;None;0;AM;3000;0;0;0;1;3000;0;;
vs12;am;4;2;08Feb2013;1017;Ent1;500;400;2000;1;4;3.74295472782;False;L;4;a;1;449;None;None;None;None;None;None;None;None;None;None;None;None;Rouge;0;3;0;0;None;None;0;AM;732.4;0;2;0;5;3000;5;;
vs12;am;4;2;08Feb2013;1052;mixed;500;400;2000;6;22;6.11587896236;False;L;4;a;1;560;None;None;None;None;None;None;None;None;None;A;2441;1;Rouge;0;3;0;0;None;None;0;AM;1634;0.16;1;0;2;3000;1;;
vs12;am;4;2;08Feb2013;1042;mixed;500;400;2000;4;16;5.97973553812;True;L;4;z;1;376;None;None;None;None;None;None;None;None;None;A;878;1;Vert;0;1;0;0;None;None;0;AM;1078;0.17;0;0;3;3000;2;;
vs12;am;4;2;08Feb2013;1042;mixed;500;400;2000;4;14;3.39682068057;False;X;16;a;1;421;None;None;None;None;None;None;None;None;None;A;1189;1;Rouge;0;6;0;0;None;None;0;AM;1626;0.18;0;0;2;3000;1;;
vs12;am;4;2;08Feb2013;1044;mixed;500;400;2000;4;34;0.823461050004;False;L;8;z;1;391;None;None;None;None;None;None;None;None;None;B;1283;4;Vert;0;8;0;0;None;None;0;AM;1810;0.18;0;0;2;3000;1;;
vs12;am;4;2;08Feb2013;1045;mixed;500;400;2000;5;8;3.89232137575;False;L;8;z;1;357;None;None;None;None;None;None;None;None;None;A;1038;3;Vert;0;5;0;0;None;None;0;AM;1636;0.19;0;0;2;3000;1;;
vs12;am;4;2;08Feb2013;1037;mixed;500;400;2000;3;8;3.87209896626;True;X;4;z;1;411;None;None;None;None;None;None;None;None;None;A;1843;2;Vert;0;2;0;0;None;None;0;AM;1703.5;0.19;0;0;2;3000;1;;
vs12;am;4;2;08Feb2013;1029;mixed;500;400;2000;1;16;5.6859983151;True;X;8;z;1;751;None;None;None;None;None;None;None;None;None;A;2903;1;Vert;0;2;0;0;None;None;0;AM;1646.5;0.2;0;0;2;3000;1;;
vs12;am;4;2;08Feb2013;1047;mixed;500;400;2000;5;21;2.63640057122;False;L;16;a;1;748;None;None;None;None;None;None;None;None;None;D;1051;8;Rouge;0;7;0;0;None;None;0;AM;1137;0.21;0;0;3;3000;2;;
vs12;am;4;2;08Feb2013;1100;mixed;500;400;2000;8;3;1.50940018536;False;L;16;a;1;377;None;None;None;None;None;None;None;None;None;B;2101;4;Rouge;0;3;0;0;None;None;0;AM;1786.5;0.21;0;0;2;3000;1;;
vs12;am;4;2;08Feb2013;1053;mixed;500;400;2000;6;33;4.66995717412;True;X;8;z;1;906;None;None;None;None;None;None;None;None;None;B;803;4;Vert;0;1;0;0;None;None;0;AM;2081.5;0.21;0;0;2;3000;1;;
vs12;am;4;2;08Feb2013;1047;mixed;500;400;2000;5;23;3.69896920443;True;L;8;z;1;684;None;None;None;None;None;None;None;None;None;B;1802;5;Vert;0;7;0;0;None;None;0;AM;1631;0.22;0;0;2;3000;1;;
vs12;am;4;2;08Feb2013;1053;mixed;500;400;2000;6;31;4.45538992986;True;L;8;a;1;484;None;None;None;None;None;None;None;None;None;B;1041;5;Rouge;0;5;0;0;None;None;0;AM;1652;0.22;0;0;2;3000;1;;
