manip,subject,session,order,mm,tm,trialType,iti,fixDur,stimDur,nBlock,nTrial,alpha,present,targType,nItems,resp,acc,rt,confidence,estNItems,estTime,confidenceRT,estNItemsRT,estTimeRT,RecRT,Erreur,Rec2Type,RecRT2,Rec2,couleur,Prime,CordCible,CordPrime,Yes/No,AV/AP,Diff,PostTest,RECORDING_SESSION_LABEL,AVERAGE_FIXATION_DURATION,AVERAGE_SACCADE_AMPLITUDE,BLINK_COUNT,BUTTON_PRESS_COUNT,FIXATION_COUNT,IP_DURATION,SACCADE_COUNT,V48,V49,training,task,trialId
vs12,am,4,2,08Feb2013,1015,Ent1,500,400,2000,1,1,6.2046652616,0,L,8,z,1,2866,,,,,,,,,,,,Vert,0,8,0,0,,,0,AM,3000,0,0,0,1,3000,0,,,0,L among T,56
vs12,am,4,2,08Feb2013,1025,Ent2,500,400,2000,1,6,2.39146512254,1,L,8,a,1,648,,,,,,,,,B,3129,4,Rouge,0,8,0,0,,,0,AM,3000,0,0,0,1,3000,0,,,0,L among T,57
vs12,am,4,2,08Feb2013,1038,mixed,500,400,2000,3,22,1.44884434302,1,X,4,a,1,436,,,,,,,,,A,1170,3,Rouge,0,2,0,0,,,0,AM,3000,0,0,0,1,3000,0,,,0,X among T,58
vs12,am,4,2,08Feb2013,1055,mixed,500,400,2000,7,3,5.32113673926,1,X,8,z,1,1391,,,,,,,,,A,1135,3,Vert,0,6,0,0,,,0,AM,3000,0,0,0,1,3000,0,,,0,X among T,59
vs12,am,4,2,08Feb2013,1025,Ent2,500,400,2000,1,10,1.98014499471,1,L,16,a,0,673,,,,,,,,,B,3012,5,Vert,0,10,0,0,,,0,AM,3000,0,0,0,1,3000,0,,,0,L among T,60
vs12,am,4,2,08Feb2013,1042,mixed,500,400,2000,4,11,3.00849415978,0,L,4,z,1,427,,,,,,,,,A,939,1,Vert,0,3,0,0,,,0,AM,3000,0,0,0,1,3000,0,,,0,L among T,61
vs12,am,4,2,08Feb2013,1056,mixed,500,400,2000,7,10,2.64999842725,1,X,4,a,1,421,,,,,,,,,A,1029,2,Rouge,0,1,0,0,,,0,AM,3000,0,0,0,1,3000,0,,,0,X among T,62
vs12,am,4,2,08Feb2013,1025,Ent2,500,400,2000,1,7,0.973447308234,1,X,8,a,1,695,,,,,,,,,B,2551,5,Rouge,0,4,0,0,,,0,AM,3000,0,0,0,1,3000,0,,,0,X among T,63
vs12,am,4,2,08Feb2013,1029,mixed,500,400,2000,1,18,2.06782604813,0,L,16,a,0,654,,,,,,,,,C,1612,6,Vert,0,9,0,0,,,0,AM,3000,0,0,0,1,3000,0,,,0,L among T,64
vs12,am,4,2,08Feb2013,1045,mixed,500,400,2000,5,2,3.94370490784,1,X,4,a,1,328,,,,,,,,,A,959,1,Rouge,0,3,0,0,,,0,AM,3000,0,0,0,1,3000,0,,,0,X among T,65
